= A csillaggal jelöltek munkaszüneti napok =

*Január 1.	    Újév
Január 6.	    Vízkereszt, a farsang kezdete
Január 8.	    A világirodalom napja
Január 21.	    A vallások világnapja
Január 22.	    A magyar kultúra napja
Január 27.	    A holokauszt nemzetközi emléknapja
Február 1.	    A civilek napja
Február 3.	    Rejtvényfejtők világnapja
Február 4.	    Rákellenes világnap
Február 14.	    Valentin-nap
Február 18.	    A kínai újév kezdete
Február 21.	    Hamvazószerda
Március 1.	    A meteorológiai tavasz kezdete
Március 6.	    Energiatakarékossági világnap
Március 8.	    Nőnap
Március 14.	    Nemzetközi pi nap
*Március 15.	Az 1848-as forradalom ünnepe
Március 22.	    A víz világnapja
Április 1.	    Bolondok napja
*               Nagypéntek
*               Húsvét hétfő
Április 7.	    Az egészség világnapja
Április 11.	    A magyar költészet napja
Április 22.	    A Föld napja
Április 30.	    A méhek napja
*Május 1.	    A munka ünnepe (a munkavállalók szolidaritási napja)
Május 3.	    A Nap napja
Május első vas  Anyák napja
Május 10.	    Madarak és Fák Napja
Május 15.	    A család nemzetközi napja
Május 19.	    Nemzetközi férfinap
Május 22.       Kihívás napja, Challenge Day
Május utol vas  Gyereknap
*               Pünkösdhétfő
Június 5.	    Környezetvédelmi világnap
Június 8.	    Medárd napja
Június 3.vas    Apák napja
Július 1.	    Semmelweis-nap, a magyar egészségügy napja
Július 20.	    A Hold napja
Augusztus 15.	Nagyboldogasszony napja
*Augusztus 20.	Az államalapítás ünnepe
Szeptember 22.	Európai autómentes nap
Október 6.	    Az aradi vértanúk emléknapja
Október 21.	    Földünkért világnap
*Október 23.	Az 1956-os forradalom ünnepe A 3 magyar köztársaság kikiáltásának napja
Október 31.	    Őszirózsás forradalom
*November 1.	Mindenszentek
November 2.	    Halottak napja
                Black Friday
                Cyber Monday
November 27.	A Nobel-díj alapításának napja
December 24.	Szenteste
*December 25.	Karácsony
*December 26.	Karácsony
December 31.	Szilveszter

==============================
